titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0095246	7	Gotham	US	\N	\N	\N	0
tt0095246	8	Os Mortos Não Mentem	BR	\N	imdbDisplay	\N	0
tt0095246	9	Gotham	\N	\N	original	\N	1
